Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
south korea-2013-meisterschaft,1,2013-09-08,11:00,sunday,Busan IPark,FC Seoul,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-busan-ipark-fc-seoul/
south korea-2013-abstieg,2,2013-09-11,11:00,wednesday,Daegu FC,Gangwon FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-daegu-fc-gangwon-fc/
south korea-2013-abstieg,2,2013-09-11,11:30,wednesday,Daejeon Citizen,Jeju United,1,2,3,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-abstieg-daejon-citizen-jeju-united-fc/
south korea-2013-abstieg,2,2013-09-11,11:30,wednesday,Seongnam Ilhwa Chunma,Chunnam Dragons,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-seongnam-ilhwa-chunma-chunnam-dragons/
south korea-2013-meisterschaft,2,2013-09-11,11:30,wednesday,Suwon Bluewings,Busan IPark,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-suwon-blue-wings-busan-ipark/
south korea-2013-meisterschaft,2,2013-09-11,11:30,wednesday,FC Seoul,Pohang Steelers,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-fc-seoul-pohang-steelers/
south korea-2013-meisterschaft,2,2013-09-11,11:30,wednesday,Incheon United,Jeonbuk FC,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-meisterschaft-incheon-united-jeonbuk-fc/
south korea-2013-meisterschaft,3,2013-09-21,08:00,saturday,Busan IPark,Jeonbuk FC,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-meisterschaft-busan-ipark-jeonbuk-fc/
south korea-2013-abstieg,3,2013-09-21,09:00,saturday,Gangwon FC,Seongnam Ilhwa Chunma,0,2,2,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/k-league-2013-abstieg-gangwon-fc-seongnam-ilhwa-chunma/
south korea-2013-abstieg,3,2013-09-22,06:00,sunday,Gyeongnam FC,Daegu FC,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/k-league-2013-abstieg-gyeongnam-fc-daegu-fc/
south korea-2013-meisterschaft,3,2013-09-22,06:00,sunday,Pohang Steelers,Ulsan Hyundai,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-pohang-steelers-ulsan-hyundai-horang-i/
south korea-2013-meisterschaft,3,2013-09-22,06:00,sunday,Suwon Bluewings,Incheon United,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-suwon-blue-wings-incheon-united/
south korea-2013-abstieg,3,2013-09-22,07:00,sunday,Chunnam Dragons,Daejeon Citizen,2,2,4,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-chunnam-dragons-daejon-citizen/
south korea-2013-abstieg,4,2013-09-28,08:00,saturday,Gyeongnam FC,Seongnam Ilhwa Chunma,1,2,3,A,L,W,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-abstieg-gyeongnam-fc-seongnam-ilhwa-chunma/
south korea-2013-abstieg,4,2013-09-28,08:00,saturday,Daejeon Citizen,Gangwon FC,1,3,4,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-daejon-citizen-gangwon-fc/
south korea-2013-meisterschaft,4,2013-09-28,08:00,saturday,Incheon United,Pohang Steelers,2,2,4,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-meisterschaft-incheon-united-pohang-steelers/
south korea-2013-abstieg,4,2013-09-29,06:00,sunday,Jeju United,Chunnam Dragons,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-jeju-united-fc-chunnam-dragons/
south korea-2013-meisterschaft,4,2013-09-29,06:00,sunday,Jeonbuk FC,Suwon Bluewings,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-jeonbuk-fc-suwon-blue-wings/
south korea-2013-abstieg,5,2013-10-05,06:00,saturday,Gangwon FC,Gyeongnam FC,2,1,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/k-league-2013-abstieg-gangwon-fc-gyeongnam-fc/
south korea-2013-meisterschaft,5,2013-10-05,06:00,saturday,Pohang Steelers,Suwon Bluewings,2,2,4,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-meisterschaft-pohang-steelers-suwon-blue-wings/
south korea-2013-abstieg,5,2013-10-05,08:00,saturday,Daegu FC,Daejeon Citizen,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-abstieg-daegu-fc-daejon-citizen/
south korea-2013-meisterschaft,5,2013-10-05,08:00,saturday,Ulsan Hyundai,Busan IPark,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-ulsan-hyundai-horang-i-busan-ipark/
south korea-2013-abstieg,5,2013-10-06,06:00,sunday,Seongnam Ilhwa Chunma,Jeju United,2,1,3,H,W,L,2,1,3,H,W,L,http://www.worldfootball.net/report/k-league-2013-abstieg-seongnam-ilhwa-chunma-jeju-united-fc/
south korea-2013-meisterschaft,5,2013-10-06,08:00,sunday,Incheon United,FC Seoul,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-incheon-united-fc-seoul/
south korea-2013-meisterschaft,6,2013-10-09,05:00,wednesday,Suwon Bluewings,FC Seoul,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-suwon-blue-wings-fc-seoul/
south korea-2013-abstieg,6,2013-10-09,06:00,wednesday,Jeju United,Gangwon FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-jeju-united-fc-gangwon-fc/
south korea-2013-meisterschaft,6,2013-10-09,06:00,wednesday,Pohang Steelers,Busan IPark,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-meisterschaft-pohang-steelers-busan-ipark/
