Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR
ita-2017-2018,2017-10-01,14:00,Lazio Roma,Sassuolo Calcio,6,1,7,H,W,L,1,1,2,D,D,D
ita-2017-2018,2017-10-01,14:00,SPAL 2013 Ferrara,FC Crotone,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-10-01,14:00,Torino FC,Hellas Verona,2,2,4,D,D,D,2,0,2,H,W,L
ita-2017-2018,2017-10-01,17:00,AC Milan,AS Roma,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-10-01,19:45,Atalanta,Juventus,2,2,4,D,D,D,1,2,3,A,L,W
ita-2017-2018,2017-10-14,17:00,Juventus,Lazio Roma,1,2,3,A,L,W,1,0,1,H,W,L
ita-2017-2018,2017-10-14,19:45,AS Roma,SSC Napoli,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-10-15,11:30,ACF Fiorentina,Udinese Calcio,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-15,14:00,Bologna FC,SPAL 2013 Ferrara,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-15,14:00,Cagliari Calcio,Genoa CFC,2,3,5,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-10-15,14:00,FC Crotone,Torino FC,2,2,4,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-10-15,14:00,Sampdoria,Atalanta,3,1,4,H,W,L,0,1,1,A,L,W
ita-2017-2018,2017-10-15,14:00,Sassuolo Calcio,Chievo Verona,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-10-15,19:45,Inter,AC Milan,3,2,5,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-16,19:45,Hellas Verona,Benevento Calcio,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-10-21,17:00,Sampdoria,FC Crotone,5,0,5,H,W,L,3,0,3,H,W,L
ita-2017-2018,2017-10-21,19:45,SSC Napoli,Inter,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-10-22,11:30,Chievo Verona,Hellas Verona,3,2,5,H,W,L,2,1,3,H,W,L
ita-2017-2018,2017-10-22,14:00,Atalanta,Bologna FC,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-10-22,14:00,Benevento Calcio,ACF Fiorentina,0,3,3,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-10-22,14:00,AC Milan,Genoa CFC,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-10-22,14:00,SPAL 2013 Ferrara,Sassuolo Calcio,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-10-22,14:00,Torino FC,AS Roma,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-10-22,17:00,Udinese Calcio,Juventus,2,6,8,A,L,W,1,2,3,A,L,W
ita-2017-2018,2017-10-22,19:45,Lazio Roma,Cagliari Calcio,3,0,3,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-10-24,19:45,Inter,Sampdoria,3,2,5,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-10-25,17:30,Atalanta,Hellas Verona,3,0,3,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-10-25,19:45,Bologna FC,Lazio Roma,1,2,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-10-25,19:45,Cagliari Calcio,Benevento Calcio,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-25,19:45,Chievo Verona,AC Milan,1,4,5,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-10-25,19:45,ACF Fiorentina,Torino FC,3,0,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-25,19:45,Genoa CFC,SSC Napoli,2,3,5,A,L,W,1,2,3,A,L,W
ita-2017-2018,2017-10-25,19:45,Juventus,SPAL 2013 Ferrara,4,1,5,H,W,L,2,1,3,H,W,L
ita-2017-2018,2017-10-25,19:45,AS Roma,FC Crotone,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-25,19:45,Sassuolo Calcio,Udinese Calcio,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-10-28,17:00,AC Milan,Juventus,0,2,2,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-10-28,19:45,AS Roma,Bologna FC,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-10-29,11:30,Benevento Calcio,Lazio Roma,1,5,6,A,L,W,0,3,3,A,L,W
ita-2017-2018,2017-10-29,14:00,FC Crotone,ACF Fiorentina,2,1,3,H,W,L,2,1,3,H,W,L
ita-2017-2018,2017-10-29,14:00,SSC Napoli,Sassuolo Calcio,3,1,4,H,W,L,2,1,3,H,W,L
ita-2017-2018,2017-10-29,14:00,Sampdoria,Chievo Verona,4,1,5,H,W,L,3,1,4,H,W,L
ita-2017-2018,2017-10-29,14:00,SPAL 2013 Ferrara,Genoa CFC,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-10-29,14:00,Udinese Calcio,Atalanta,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2017-10-29,19:45,Torino FC,Cagliari Calcio,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2017-10-30,19:45,Hellas Verona,Inter,1,2,3,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-04,17:00,Bologna FC,FC Crotone,2,3,5,A,L,W,2,1,3,H,W,L
ita-2017-2018,2017-11-04,19:45,Genoa CFC,Sampdoria,0,2,2,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-05,11:30,Inter,Torino FC,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-11-05,14:00,Cagliari Calcio,Hellas Verona,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2017-11-05,14:00,Chievo Verona,SSC Napoli,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-11-05,14:00,ACF Fiorentina,AS Roma,2,4,6,A,L,W,2,2,4,D,D,D
ita-2017-2018,2017-11-05,14:00,Juventus,Benevento Calcio,2,1,3,H,W,L,0,1,1,A,L,W
ita-2017-2018,2017-11-05,17:00,Atalanta,SPAL 2013 Ferrara,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-11-05,19:45,Sassuolo Calcio,AC Milan,0,2,2,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-18,17:00,AS Roma,Lazio Roma,2,1,3,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-11-18,19:45,SSC Napoli,AC Milan,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-11-19,11:30,FC Crotone,Genoa CFC,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-19,14:00,Benevento Calcio,Sassuolo Calcio,1,2,3,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-11-19,14:00,Sampdoria,Juventus,3,2,5,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-11-19,14:00,SPAL 2013 Ferrara,ACF Fiorentina,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-11-19,14:00,Torino FC,Chievo Verona,1,1,2,D,D,D,1,1,2,D,D,D
ita-2017-2018,2017-11-19,14:00,Udinese Calcio,Cagliari Calcio,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-11-19,19:45,Inter,Atalanta,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-11-20,19:45,Hellas Verona,Bologna FC,2,3,5,A,L,W,2,1,3,H,W,L
ita-2017-2018,2017-11-25,14:00,Bologna FC,Sampdoria,3,0,3,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-11-25,17:00,Chievo Verona,SPAL 2013 Ferrara,2,1,3,H,W,L,0,1,1,A,L,W
ita-2017-2018,2017-11-25,17:00,Sassuolo Calcio,Hellas Verona,0,2,2,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-11-25,19:45,Cagliari Calcio,Inter,1,3,4,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-26,14:00,Genoa CFC,AS Roma,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-11-26,14:00,AC Milan,Torino FC,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-11-26,14:00,Udinese Calcio,SSC Napoli,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-11-26,17:00,Lazio Roma,ACF Fiorentina,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-11-26,19:45,Juventus,FC Crotone,3,0,3,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-11-27,19:45,Atalanta,Benevento Calcio,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-01,17:30,AS Roma,SPAL 2013 Ferrara,3,1,4,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-12-01,19:45,SSC Napoli,Juventus,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-12-02,19:45,Torino FC,Atalanta,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-12-03,11:30,Benevento Calcio,AC Milan,2,2,4,D,D,D,0,1,1,A,L,W
ita-2017-2018,2017-12-03,14:00,Bologna FC,Cagliari Calcio,1,1,2,D,D,D,0,1,1,A,L,W
ita-2017-2018,2017-12-03,14:00,ACF Fiorentina,Sassuolo Calcio,3,0,3,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-12-03,14:00,Inter,Chievo Verona,5,0,5,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-12-03,19:45,Sampdoria,Lazio Roma,1,2,3,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-12-04,18:00,FC Crotone,Udinese Calcio,0,3,3,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-12-04,20:00,Hellas Verona,Genoa CFC,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-12-09,17:00,Cagliari Calcio,Sampdoria,2,2,4,D,D,D,0,2,2,A,L,W
ita-2017-2018,2017-12-09,19:45,Juventus,Inter,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-10,11:30,Chievo Verona,AS Roma,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-10,14:00,SSC Napoli,ACF Fiorentina,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-10,14:00,SPAL 2013 Ferrara,Hellas Verona,2,2,4,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-10,14:00,Udinese Calcio,Benevento Calcio,2,0,2,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-12-10,17:00,Sassuolo Calcio,FC Crotone,2,1,3,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-10,19:45,AC Milan,Bologna FC,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2017-12-11,20:00,Lazio Roma,Torino FC,1,3,4,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-12-12,18:00,Genoa CFC,Atalanta,1,2,3,A,L,W,1,1,2,D,D,D
ita-2017-2018,2017-12-16,14:00,Inter,Udinese Calcio,1,3,4,A,L,W,1,1,2,D,D,D
ita-2017-2018,2017-12-16,17:00,Torino FC,SSC Napoli,1,3,4,A,L,W,0,3,3,A,L,W
ita-2017-2018,2017-12-16,19:45,AS Roma,Cagliari Calcio,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-17,11:30,Hellas Verona,AC Milan,3,0,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-12-17,14:00,Bologna FC,Juventus,0,3,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-12-17,14:00,FC Crotone,Chievo Verona,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-12-17,14:00,ACF Fiorentina,Genoa CFC,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-17,14:00,Sampdoria,Sassuolo Calcio,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-12-17,17:00,Benevento Calcio,SPAL 2013 Ferrara,1,2,3,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-12-17,19:45,Atalanta,Lazio Roma,3,3,6,D,D,D,2,2,4,D,D,D
ita-2017-2018,2017-12-22,17:00,Chievo Verona,Bologna FC,2,3,5,A,L,W,1,1,2,D,D,D
ita-2017-2018,2017-12-22,19:45,Cagliari Calcio,ACF Fiorentina,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-12-23,11:30,Lazio Roma,FC Crotone,4,0,4,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-23,14:00,Genoa CFC,Benevento Calcio,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-23,14:00,SSC Napoli,Sampdoria,3,2,5,H,W,L,3,2,5,H,W,L
ita-2017-2018,2017-12-23,14:00,Sassuolo Calcio,Inter,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-12-23,14:00,SPAL 2013 Ferrara,Torino FC,2,2,4,D,D,D,1,2,3,A,L,W
ita-2017-2018,2017-12-23,14:00,Udinese Calcio,Hellas Verona,4,0,4,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-12-23,17:00,AC Milan,Atalanta,0,2,2,A,L,W,0,1,1,A,L,W
